Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
30,120,280,5,25,79.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,36,70.0
30,120,280,5,33,72.5
30,120,280,5,40,66.66666666666667
30,120,280,5,25,79.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,45,62.5
30,120,280,5,33,72.5
30,120,280,5,33,72.5
30,120,280,5,34,71.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,44,63.333333333333336
30,120,280,5,38,68.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,33,72.5
30,120,280,5,40,66.66666666666667
30,120,280,5,33,72.5
30,120,280,5,28,76.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,34,71.66666666666667
30,120,280,5,40,66.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,43,64.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,30,75.0
30,120,280,5,29,75.83333333333334
30,120,280,5,23,80.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,26,78.33333333333334
30,120,280,5,40,66.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,45,62.5
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,26,78.33333333333334
30,120,280,5,33,72.5
30,120,280,5,37,69.16666666666667
30,120,280,5,36,70.0
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,27,77.5
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,33,72.5
30,120,280,5,41,65.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,33,72.5
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,25,79.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,23,80.83333333333334
30,120,280,5,30,75.0
30,120,280,5,42,65.0
30,120,280,5,30,75.0
30,120,280,5,26,78.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,35,70.83333333333334
30,120,280,5,36,70.0
30,120,280,5,30,75.0
30,120,280,5,30,75.0
30,120,280,5,37,69.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,36,70.0
30,120,280,5,35,70.83333333333334
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,32,73.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,24,80.0
30,120,280,5,30,75.0
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,25,79.16666666666667
30,120,280,5,36,70.0
30,120,280,5,30,75.0
30,120,280,5,32,73.33333333333334
30,120,280,5,23,80.83333333333334
30,120,280,5,27,77.5
30,120,280,5,28,76.66666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,36,70.0
30,120,280,5,32,73.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,30,75.0
30,120,280,5,27,77.5
30,120,280,5,34,71.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,36,70.0
30,120,280,5,27,77.5
30,120,280,5,23,80.83333333333334
30,120,280,5,41,65.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,29,75.83333333333334
30,120,280,5,36,70.0
30,120,280,5,40,66.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,29,75.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,42,65.0
30,120,280,5,31,74.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,36,70.0
30,120,280,5,33,72.5
30,120,280,5,36,70.0
30,120,280,5,40,66.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,43,64.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,36,70.0
30,120,280,5,39,67.5
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,36,70.0
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,42,65.0
30,120,280,5,34,71.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,30,75.0
30,120,280,5,38,68.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,27,77.5
30,120,280,5,30,75.0
30,120,280,5,36,70.0
30,120,280,5,34,71.66666666666667
30,120,280,5,36,70.0
30,120,280,5,37,69.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,36,70.0
30,120,280,5,24,80.0
30,120,280,5,29,75.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,33,72.5
30,120,280,5,38,68.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,42,65.0
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,27,77.5
30,120,280,5,30,75.0
30,120,280,5,34,71.66666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,39,67.5
30,120,280,5,35,70.83333333333334
30,120,280,5,39,67.5
30,120,280,5,31,74.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,39,67.5
30,120,280,5,31,74.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,36,70.0
30,120,280,5,28,76.66666666666667
30,120,280,5,20,83.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,33,72.5
30,120,280,5,37,69.16666666666667
30,120,280,5,30,75.0
30,120,280,5,22,81.66666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,41,65.83333333333334
30,120,280,5,30,75.0
30,120,280,5,29,75.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,30,75.0
30,120,280,5,36,70.0
30,120,280,5,37,69.16666666666667
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,33,72.5
30,120,280,5,36,70.0
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,43,64.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,27,77.5
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,27,77.5
30,120,280,5,29,75.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,33,72.5
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,27,77.5
30,120,280,5,29,75.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,26,78.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,46,61.66666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,36,70.0
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,27,77.5
30,120,280,5,32,73.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,36,70.0
30,120,280,5,29,75.83333333333334
30,120,280,5,40,66.66666666666667
30,120,280,5,39,67.5
30,120,280,5,35,70.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,33,72.5
30,120,280,5,36,70.0
30,120,280,5,31,74.16666666666667
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,28,76.66666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,40,66.66666666666667
30,120,280,5,39,67.5
30,120,280,5,30,75.0
30,120,280,5,35,70.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,33,72.5
30,120,280,5,42,65.0
30,120,280,5,36,70.0
30,120,280,5,29,75.83333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,24,80.0
30,120,280,5,38,68.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,36,70.0
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,39,67.5
30,120,280,5,37,69.16666666666667
30,120,280,5,39,67.5
30,120,280,5,39,67.5
30,120,280,5,35,70.83333333333334
30,120,280,5,33,72.5
30,120,280,5,26,78.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,36,70.0
30,120,280,5,27,77.5
30,120,280,5,32,73.33333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,40,66.66666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,30,75.0
30,120,280,5,37,69.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,30,75.0
30,120,280,5,25,79.16666666666667
30,120,280,5,30,75.0
30,120,280,5,27,77.5
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,30,75.0
30,120,280,5,29,75.83333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,40,66.66666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,28,76.66666666666667
30,120,280,5,36,70.0
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,36,70.0
30,120,280,5,33,72.5
30,120,280,5,34,71.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,40,66.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,36,70.0
30,120,280,5,26,78.33333333333334
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,27,77.5
30,120,280,5,32,73.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,37,69.16666666666667
30,120,280,5,25,79.16666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,25,79.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,23,80.83333333333334
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,33,72.5
30,120,280,5,38,68.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,27,77.5
30,120,280,5,31,74.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,25,79.16666666666667
30,120,280,5,36,70.0
30,120,280,5,36,70.0
30,120,280,5,26,78.33333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,27,77.5
30,120,280,5,26,78.33333333333334
30,120,280,5,33,72.5
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,36,70.0
30,120,280,5,38,68.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,41,65.83333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,30,75.0
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,22,81.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,27,77.5
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,36,70.0
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,23,80.83333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,25,79.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,30,75.0
30,120,280,5,35,70.83333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,27,77.5
30,120,280,5,25,79.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,36,70.0
30,120,280,5,32,73.33333333333334
30,120,280,5,33,72.5
30,120,280,5,37,69.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,42,65.0
30,120,280,5,30,75.0
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,35,70.83333333333334
30,120,280,5,33,72.5
30,120,280,5,29,75.83333333333334
30,120,280,5,30,75.0
30,120,280,5,29,75.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,27,77.5
30,120,280,5,32,73.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,36,70.0
30,120,280,5,34,71.66666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,36,70.0
30,120,280,5,34,71.66666666666667
30,120,280,5,27,77.5
30,120,280,5,41,65.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,23,80.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,30,75.0
30,120,280,5,26,78.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,33,72.5
30,120,280,5,34,71.66666666666667
30,120,280,5,36,70.0
30,120,280,5,40,66.66666666666667
30,120,280,5,36,70.0
30,120,280,5,34,71.66666666666667
30,120,280,5,27,77.5
30,120,280,5,30,75.0
30,120,280,5,37,69.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,33,72.5
30,120,280,5,28,76.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,34,71.66666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,36,70.0
30,120,280,5,35,70.83333333333334
30,120,280,5,25,79.16666666666667
30,120,280,5,40,66.66666666666667
30,120,280,5,33,72.5
30,120,280,5,40,66.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,30,75.0
30,120,280,5,32,73.33333333333334
30,120,280,5,36,70.0
30,120,280,5,32,73.33333333333334
30,120,280,5,26,78.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,25,79.16666666666667
30,120,280,5,30,75.0
30,120,280,5,37,69.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,36,70.0
30,120,280,5,36,70.0
30,120,280,5,34,71.66666666666667
30,120,280,5,39,67.5
30,120,280,5,37,69.16666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,30,75.0
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,41,65.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,36,70.0
30,120,280,5,31,74.16666666666667
30,120,280,5,27,77.5
30,120,280,5,31,74.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,30,75.0
30,120,280,5,28,76.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,36,70.0
30,120,280,5,34,71.66666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,28,76.66666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,30,75.0
30,120,280,5,33,72.5
30,120,280,5,37,69.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,40,66.66666666666667
30,120,280,5,36,70.0
30,120,280,5,28,76.66666666666667
30,120,280,5,30,75.0
30,120,280,5,28,76.66666666666667
30,120,280,5,33,72.5
30,120,280,5,32,73.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,36,70.0
30,120,280,5,31,74.16666666666667
30,120,280,5,38,68.33333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,24,80.0
30,120,280,5,32,73.33333333333334
30,120,280,5,36,70.0
30,120,280,5,37,69.16666666666667
30,120,280,5,25,79.16666666666667
30,120,280,5,39,67.5
30,120,280,5,38,68.33333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,36,70.0
30,120,280,5,35,70.83333333333334
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,30,75.0
30,120,280,5,34,71.66666666666667
30,120,280,5,39,67.5
30,120,280,5,35,70.83333333333334
30,120,280,5,27,77.5
30,120,280,5,37,69.16666666666667
30,120,280,5,33,72.5
30,120,280,5,30,75.0
30,120,280,5,34,71.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,26,78.33333333333334
30,120,280,5,39,67.5
30,120,280,5,25,79.16666666666667
30,120,280,5,26,78.33333333333334
30,120,280,5,38,68.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,27,77.5
30,120,280,5,23,80.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,27,77.5
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,29,75.83333333333334
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,34,71.66666666666667
30,120,280,5,30,75.0
30,120,280,5,31,74.16666666666667
30,120,280,5,29,75.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,25,79.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,30,75.0
30,120,280,5,32,73.33333333333334
30,120,280,5,29,75.83333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,35,70.83333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,36,70.0
30,120,280,5,37,69.16666666666667
30,120,280,5,28,76.66666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,30,75.0
30,120,280,5,35,70.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,31,74.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,36,70.0
30,120,280,5,31,74.16666666666667
30,120,280,5,30,75.0
30,120,280,5,34,71.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,30,75.0
30,120,280,5,36,70.0
30,120,280,5,35,70.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,34,71.66666666666667
30,120,280,5,31,74.16666666666667
30,120,280,5,37,69.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,25,79.16666666666667
30,120,280,5,32,73.33333333333334
30,120,280,5,41,65.83333333333334
30,120,280,5,35,70.83333333333334
30,120,280,5,27,77.5
30,120,280,5,42,65.0
30,120,280,5,29,75.83333333333334
30,120,280,5,33,72.5
30,120,280,5,35,70.83333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,32,73.33333333333334
30,120,280,5,37,69.16666666666667
30,120,280,5,33,72.5
30,120,280,5,37,69.16666666666667
30,120,280,5,30,75.0
30,120,280,5,32,73.33333333333334
