Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
50,200,200,5,55,72.5
50,200,200,5,64,68.0
50,200,200,5,54,73.0
50,200,200,5,62,69.0
50,200,200,5,49,75.5
50,200,200,5,57,71.5
50,200,200,5,49,75.5
50,200,200,5,59,70.5
50,200,200,5,49,75.5
50,200,200,5,57,71.5
50,200,200,5,57,71.5
50,200,200,5,60,70.0
50,200,200,5,44,78.0
50,200,200,5,56,72.0
50,200,200,5,53,73.5
50,200,200,5,50,75.0
50,200,200,5,55,72.5
50,200,200,5,54,73.0
50,200,200,5,55,72.5
50,200,200,5,57,71.5
50,200,200,5,58,71.0
50,200,200,5,54,73.0
50,200,200,5,59,70.5
50,200,200,5,50,75.0
50,200,200,5,54,73.0
50,200,200,5,61,69.5
50,200,200,5,64,68.0
50,200,200,5,46,77.0
50,200,200,5,54,73.0
50,200,200,5,48,76.0
50,200,200,5,56,72.0
50,200,200,5,57,71.5
50,200,200,5,56,72.0
50,200,200,5,56,72.0
50,200,200,5,55,72.5
50,200,200,5,62,69.0
50,200,200,5,55,72.5
50,200,200,5,60,70.0
50,200,200,5,55,72.5
50,200,200,5,61,69.5
50,200,200,5,57,71.5
50,200,200,5,59,70.5
50,200,200,5,52,74.0
50,200,200,5,49,75.5
50,200,200,5,55,72.5
50,200,200,5,56,72.0
50,200,200,5,51,74.5
50,200,200,5,58,71.0
50,200,200,5,61,69.5
50,200,200,5,57,71.5
50,200,200,5,54,73.0
50,200,200,5,63,68.5
50,200,200,5,53,73.5
50,200,200,5,56,72.0
50,200,200,5,53,73.5
50,200,200,5,53,73.5
50,200,200,5,54,73.0
50,200,200,5,56,72.0
50,200,200,5,49,75.5
50,200,200,5,51,74.5
50,200,200,5,54,73.0
50,200,200,5,51,74.5
50,200,200,5,55,72.5
50,200,200,5,52,74.0
50,200,200,5,64,68.0
50,200,200,5,57,71.5
50,200,200,5,58,71.0
50,200,200,5,52,74.0
50,200,200,5,64,68.0
50,200,200,5,50,75.0
50,200,200,5,54,73.0
50,200,200,5,57,71.5
50,200,200,5,57,71.5
50,200,200,5,51,74.5
50,200,200,5,58,71.0
50,200,200,5,63,68.5
50,200,200,5,46,77.0
50,200,200,5,52,74.0
50,200,200,5,53,73.5
50,200,200,5,62,69.0
50,200,200,5,56,72.0
50,200,200,5,54,73.0
50,200,200,5,52,74.0
50,200,200,5,57,71.5
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,56,72.0
50,200,200,5,62,69.0
50,200,200,5,56,72.0
50,200,200,5,55,72.5
50,200,200,5,61,69.5
50,200,200,5,59,70.5
50,200,200,5,52,74.0
50,200,200,5,57,71.5
50,200,200,5,42,79.0
50,200,200,5,59,70.5
50,200,200,5,56,72.0
50,200,200,5,59,70.5
50,200,200,5,55,72.5
50,200,200,5,55,72.5
50,200,200,5,63,68.5
50,200,200,5,55,72.5
50,200,200,5,56,72.0
50,200,200,5,50,75.0
50,200,200,5,54,73.0
50,200,200,5,57,71.5
50,200,200,5,56,72.0
50,200,200,5,48,76.0
50,200,200,5,53,73.5
50,200,200,5,57,71.5
50,200,200,5,48,76.0
50,200,200,5,55,72.5
50,200,200,5,56,72.0
50,200,200,5,54,73.0
50,200,200,5,56,72.0
50,200,200,5,54,73.0
50,200,200,5,55,72.5
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,52,74.0
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,58,71.0
50,200,200,5,57,71.5
50,200,200,5,59,70.5
50,200,200,5,51,74.5
50,200,200,5,55,72.5
50,200,200,5,57,71.5
50,200,200,5,49,75.5
50,200,200,5,51,74.5
50,200,200,5,53,73.5
50,200,200,5,50,75.0
50,200,200,5,52,74.0
50,200,200,5,53,73.5
50,200,200,5,50,75.0
50,200,200,5,51,74.5
50,200,200,5,54,73.0
50,200,200,5,59,70.5
50,200,200,5,57,71.5
50,200,200,5,62,69.0
50,200,200,5,59,70.5
50,200,200,5,60,70.0
50,200,200,5,60,70.0
50,200,200,5,54,73.0
50,200,200,5,61,69.5
50,200,200,5,49,75.5
50,200,200,5,58,71.0
50,200,200,5,65,67.5
50,200,200,5,55,72.5
50,200,200,5,58,71.0
50,200,200,5,63,68.5
50,200,200,5,60,70.0
50,200,200,5,55,72.5
50,200,200,5,52,74.0
50,200,200,5,47,76.5
50,200,200,5,56,72.0
50,200,200,5,57,71.5
50,200,200,5,58,71.0
50,200,200,5,46,77.0
50,200,200,5,51,74.5
50,200,200,5,54,73.0
50,200,200,5,61,69.5
50,200,200,5,51,74.5
50,200,200,5,58,71.0
50,200,200,5,54,73.0
50,200,200,5,56,72.0
50,200,200,5,57,71.5
50,200,200,5,54,73.0
50,200,200,5,53,73.5
50,200,200,5,48,76.0
50,200,200,5,48,76.0
50,200,200,5,67,66.5
50,200,200,5,55,72.5
50,200,200,5,53,73.5
50,200,200,5,54,73.0
50,200,200,5,53,73.5
50,200,200,5,59,70.5
50,200,200,5,54,73.0
50,200,200,5,58,71.0
50,200,200,5,57,71.5
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,50,75.0
50,200,200,5,66,67.0
50,200,200,5,48,76.0
50,200,200,5,60,70.0
50,200,200,5,57,71.5
50,200,200,5,49,75.5
50,200,200,5,58,71.0
50,200,200,5,56,72.0
50,200,200,5,61,69.5
50,200,200,5,57,71.5
50,200,200,5,52,74.0
50,200,200,5,53,73.5
50,200,200,5,55,72.5
50,200,200,5,52,74.0
50,200,200,5,58,71.0
50,200,200,5,61,69.5
50,200,200,5,49,75.5
50,200,200,5,50,75.0
50,200,200,5,57,71.5
50,200,200,5,53,73.5
50,200,200,5,54,73.0
50,200,200,5,45,77.5
50,200,200,5,59,70.5
50,200,200,5,63,68.5
50,200,200,5,54,73.0
50,200,200,5,56,72.0
50,200,200,5,58,71.0
50,200,200,5,52,74.0
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,51,74.5
50,200,200,5,62,69.0
50,200,200,5,53,73.5
50,200,200,5,60,70.0
50,200,200,5,65,67.5
50,200,200,5,63,68.5
50,200,200,5,62,69.0
50,200,200,5,53,73.5
50,200,200,5,50,75.0
50,200,200,5,56,72.0
50,200,200,5,57,71.5
50,200,200,5,50,75.0
50,200,200,5,57,71.5
50,200,200,5,65,67.5
50,200,200,5,61,69.5
50,200,200,5,53,73.5
50,200,200,5,71,64.5
50,200,200,5,52,74.0
50,200,200,5,56,72.0
50,200,200,5,57,71.5
50,200,200,5,56,72.0
50,200,200,5,56,72.0
50,200,200,5,64,68.0
50,200,200,5,52,74.0
50,200,200,5,53,73.5
50,200,200,5,60,70.0
50,200,200,5,48,76.0
50,200,200,5,58,71.0
50,200,200,5,62,69.0
50,200,200,5,59,70.5
50,200,200,5,52,74.0
50,200,200,5,54,73.0
50,200,200,5,66,67.0
50,200,200,5,58,71.0
50,200,200,5,59,70.5
50,200,200,5,51,74.5
50,200,200,5,66,67.0
50,200,200,5,58,71.0
50,200,200,5,54,73.0
50,200,200,5,56,72.0
50,200,200,5,60,70.0
50,200,200,5,60,70.0
50,200,200,5,52,74.0
50,200,200,5,57,71.5
50,200,200,5,66,67.0
50,200,200,5,50,75.0
50,200,200,5,50,75.0
50,200,200,5,60,70.0
50,200,200,5,58,71.0
50,200,200,5,55,72.5
50,200,200,5,54,73.0
50,200,200,5,52,74.0
50,200,200,5,57,71.5
50,200,200,5,60,70.0
50,200,200,5,63,68.5
50,200,200,5,51,74.5
50,200,200,5,52,74.0
50,200,200,5,56,72.0
50,200,200,5,57,71.5
50,200,200,5,59,70.5
50,200,200,5,58,71.0
50,200,200,5,64,68.0
50,200,200,5,56,72.0
50,200,200,5,59,70.5
50,200,200,5,59,70.5
50,200,200,5,55,72.5
50,200,200,5,61,69.5
50,200,200,5,54,73.0
50,200,200,5,61,69.5
50,200,200,5,59,70.5
50,200,200,5,63,68.5
50,200,200,5,52,74.0
50,200,200,5,65,67.5
50,200,200,5,64,68.0
50,200,200,5,62,69.0
50,200,200,5,51,74.5
50,200,200,5,62,69.0
50,200,200,5,59,70.5
50,200,200,5,46,77.0
50,200,200,5,57,71.5
50,200,200,5,55,72.5
50,200,200,5,58,71.0
50,200,200,5,46,77.0
50,200,200,5,55,72.5
50,200,200,5,55,72.5
50,200,200,5,59,70.5
50,200,200,5,58,71.0
50,200,200,5,54,73.0
50,200,200,5,58,71.0
50,200,200,5,55,72.5
50,200,200,5,55,72.5
50,200,200,5,51,74.5
50,200,200,5,58,71.0
50,200,200,5,50,75.0
50,200,200,5,54,73.0
50,200,200,5,56,72.0
50,200,200,5,61,69.5
50,200,200,5,51,74.5
50,200,200,5,60,70.0
50,200,200,5,51,74.5
50,200,200,5,57,71.5
50,200,200,5,60,70.0
50,200,200,5,61,69.5
50,200,200,5,53,73.5
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,49,75.5
50,200,200,5,55,72.5
50,200,200,5,59,70.5
50,200,200,5,62,69.0
50,200,200,5,57,71.5
50,200,200,5,48,76.0
50,200,200,5,55,72.5
50,200,200,5,56,72.0
50,200,200,5,61,69.5
50,200,200,5,57,71.5
50,200,200,5,62,69.0
50,200,200,5,65,67.5
50,200,200,5,65,67.5
50,200,200,5,60,70.0
50,200,200,5,56,72.0
50,200,200,5,67,66.5
50,200,200,5,57,71.5
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,58,71.0
50,200,200,5,56,72.0
50,200,200,5,50,75.0
50,200,200,5,50,75.0
50,200,200,5,61,69.5
50,200,200,5,53,73.5
50,200,200,5,54,73.0
50,200,200,5,62,69.0
50,200,200,5,60,70.0
50,200,200,5,56,72.0
50,200,200,5,55,72.5
50,200,200,5,48,76.0
50,200,200,5,51,74.5
50,200,200,5,59,70.5
50,200,200,5,55,72.5
50,200,200,5,67,66.5
50,200,200,5,50,75.0
50,200,200,5,52,74.0
50,200,200,5,62,69.0
50,200,200,5,58,71.0
50,200,200,5,63,68.5
50,200,200,5,50,75.0
50,200,200,5,52,74.0
50,200,200,5,55,72.5
50,200,200,5,55,72.5
50,200,200,5,49,75.5
50,200,200,5,56,72.0
50,200,200,5,53,73.5
50,200,200,5,57,71.5
50,200,200,5,48,76.0
50,200,200,5,51,74.5
50,200,200,5,56,72.0
50,200,200,5,57,71.5
50,200,200,5,55,72.5
50,200,200,5,60,70.0
50,200,200,5,54,73.0
50,200,200,5,54,73.0
50,200,200,5,60,70.0
50,200,200,5,51,74.5
50,200,200,5,60,70.0
50,200,200,5,42,79.0
50,200,200,5,56,72.0
50,200,200,5,49,75.5
50,200,200,5,57,71.5
50,200,200,5,55,72.5
50,200,200,5,60,70.0
50,200,200,5,56,72.0
50,200,200,5,56,72.0
50,200,200,5,54,73.0
50,200,200,5,53,73.5
50,200,200,5,54,73.0
50,200,200,5,63,68.5
50,200,200,5,51,74.5
50,200,200,5,51,74.5
50,200,200,5,48,76.0
50,200,200,5,52,74.0
50,200,200,5,62,69.0
50,200,200,5,47,76.5
50,200,200,5,60,70.0
50,200,200,5,62,69.0
50,200,200,5,45,77.5
50,200,200,5,53,73.5
50,200,200,5,56,72.0
50,200,200,5,62,69.0
50,200,200,5,59,70.5
50,200,200,5,53,73.5
50,200,200,5,52,74.0
50,200,200,5,49,75.5
50,200,200,5,49,75.5
50,200,200,5,54,73.0
50,200,200,5,60,70.0
50,200,200,5,53,73.5
50,200,200,5,59,70.5
50,200,200,5,50,75.0
50,200,200,5,59,70.5
50,200,200,5,51,74.5
50,200,200,5,60,70.0
50,200,200,5,57,71.5
50,200,200,5,61,69.5
50,200,200,5,52,74.0
50,200,200,5,49,75.5
50,200,200,5,56,72.0
50,200,200,5,63,68.5
50,200,200,5,51,74.5
50,200,200,5,62,69.0
50,200,200,5,47,76.5
50,200,200,5,53,73.5
50,200,200,5,61,69.5
50,200,200,5,61,69.5
50,200,200,5,58,71.0
50,200,200,5,52,74.0
50,200,200,5,53,73.5
50,200,200,5,54,73.0
50,200,200,5,55,72.5
50,200,200,5,58,71.0
50,200,200,5,46,77.0
50,200,200,5,56,72.0
50,200,200,5,55,72.5
50,200,200,5,59,70.5
50,200,200,5,57,71.5
50,200,200,5,50,75.0
50,200,200,5,47,76.5
50,200,200,5,61,69.5
50,200,200,5,53,73.5
50,200,200,5,58,71.0
50,200,200,5,53,73.5
50,200,200,5,62,69.0
50,200,200,5,73,63.5
50,200,200,5,56,72.0
50,200,200,5,59,70.5
50,200,200,5,49,75.5
50,200,200,5,46,77.0
50,200,200,5,63,68.5
50,200,200,5,52,74.0
50,200,200,5,67,66.5
50,200,200,5,57,71.5
50,200,200,5,60,70.0
50,200,200,5,55,72.5
50,200,200,5,57,71.5
50,200,200,5,56,72.0
50,200,200,5,64,68.0
50,200,200,5,53,73.5
50,200,200,5,61,69.5
50,200,200,5,63,68.5
50,200,200,5,56,72.0
50,200,200,5,60,70.0
50,200,200,5,56,72.0
50,200,200,5,59,70.5
50,200,200,5,49,75.5
50,200,200,5,61,69.5
50,200,200,5,58,71.0
50,200,200,5,57,71.5
50,200,200,5,58,71.0
50,200,200,5,61,69.5
50,200,200,5,46,77.0
50,200,200,5,61,69.5
50,200,200,5,52,74.0
50,200,200,5,59,70.5
50,200,200,5,47,76.5
50,200,200,5,50,75.0
50,200,200,5,66,67.0
50,200,200,5,57,71.5
50,200,200,5,64,68.0
50,200,200,5,61,69.5
50,200,200,5,59,70.5
50,200,200,5,45,77.5
50,200,200,5,52,74.0
50,200,200,5,58,71.0
50,200,200,5,55,72.5
50,200,200,5,64,68.0
50,200,200,5,57,71.5
50,200,200,5,51,74.5
50,200,200,5,66,67.0
50,200,200,5,56,72.0
50,200,200,5,59,70.5
50,200,200,5,48,76.0
50,200,200,5,60,70.0
50,200,200,5,56,72.0
50,200,200,5,53,73.5
50,200,200,5,49,75.5
50,200,200,5,63,68.5
50,200,200,5,57,71.5
50,200,200,5,65,67.5
50,200,200,5,60,70.0
50,200,200,5,57,71.5
50,200,200,5,55,72.5
50,200,200,5,46,77.0
