Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,24,70.0
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,28,65.0
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,20,75.0
20,80,320,3,25,68.75
20,80,320,3,23,71.25
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,19,76.25
20,80,320,3,26,67.5
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,27,66.25
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,15,81.25
20,80,320,3,22,72.5
20,80,320,3,23,71.25
20,80,320,3,27,66.25
20,80,320,3,24,70.0
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,18,77.5
20,80,320,3,17,78.75
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,13,83.75
20,80,320,3,23,71.25
20,80,320,3,28,65.0
20,80,320,3,25,68.75
20,80,320,3,17,78.75
20,80,320,3,19,76.25
20,80,320,3,14,82.5
20,80,320,3,21,73.75
20,80,320,3,25,68.75
20,80,320,3,13,83.75
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,17,78.75
20,80,320,3,30,62.5
20,80,320,3,19,76.25
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,22,72.5
20,80,320,3,24,70.0
20,80,320,3,25,68.75
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,14,82.5
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,17,78.75
20,80,320,3,27,66.25
20,80,320,3,22,72.5
20,80,320,3,27,66.25
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,19,76.25
20,80,320,3,27,66.25
20,80,320,3,26,67.5
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,15,81.25
20,80,320,3,15,81.25
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,17,78.75
20,80,320,3,24,70.0
20,80,320,3,21,73.75
20,80,320,3,16,80.0
20,80,320,3,28,65.0
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,18,77.5
20,80,320,3,17,78.75
20,80,320,3,16,80.0
20,80,320,3,24,70.0
20,80,320,3,27,66.25
20,80,320,3,21,73.75
20,80,320,3,25,68.75
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,26,67.5
20,80,320,3,16,80.0
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,15,81.25
20,80,320,3,23,71.25
20,80,320,3,20,75.0
20,80,320,3,26,67.5
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,16,80.0
20,80,320,3,16,80.0
20,80,320,3,22,72.5
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,22,72.5
20,80,320,3,25,68.75
20,80,320,3,25,68.75
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,29,63.75
20,80,320,3,18,77.5
20,80,320,3,23,71.25
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,30,62.5
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,26,67.5
20,80,320,3,17,78.75
20,80,320,3,23,71.25
20,80,320,3,28,65.0
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,28,65.0
20,80,320,3,24,70.0
20,80,320,3,18,77.5
20,80,320,3,27,66.25
20,80,320,3,26,67.5
20,80,320,3,20,75.0
20,80,320,3,18,77.5
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,25,68.75
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,25,68.75
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,25,68.75
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,28,65.0
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,26,67.5
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,25,68.75
20,80,320,3,16,80.0
20,80,320,3,15,81.25
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,15,81.25
20,80,320,3,16,80.0
20,80,320,3,19,76.25
20,80,320,3,23,71.25
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,29,63.75
20,80,320,3,20,75.0
20,80,320,3,17,78.75
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,15,81.25
20,80,320,3,20,75.0
20,80,320,3,29,63.75
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,11,86.25
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,15,81.25
20,80,320,3,23,71.25
20,80,320,3,26,67.5
20,80,320,3,24,70.0
20,80,320,3,18,77.5
20,80,320,3,28,65.0
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,27,66.25
20,80,320,3,18,77.5
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,25,68.75
20,80,320,3,27,66.25
20,80,320,3,25,68.75
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,32,60.0
20,80,320,3,21,73.75
20,80,320,3,17,78.75
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,25,68.75
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,19,76.25
20,80,320,3,35,56.25
20,80,320,3,14,82.5
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,24,70.0
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,13,83.75
20,80,320,3,21,73.75
20,80,320,3,27,66.25
20,80,320,3,14,82.5
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,26,67.5
20,80,320,3,22,72.5
20,80,320,3,15,81.25
20,80,320,3,7,91.25
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,17,78.75
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,15,81.25
20,80,320,3,18,77.5
20,80,320,3,23,71.25
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,17,78.75
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,19,76.25
20,80,320,3,16,80.0
20,80,320,3,21,73.75
20,80,320,3,17,78.75
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,17,78.75
20,80,320,3,15,81.25
20,80,320,3,27,66.25
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,28,65.0
20,80,320,3,22,72.5
20,80,320,3,16,80.0
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,28,65.0
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,17,78.75
20,80,320,3,26,67.5
20,80,320,3,29,63.75
20,80,320,3,22,72.5
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,17,78.75
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,19,76.25
20,80,320,3,28,65.0
20,80,320,3,26,67.5
20,80,320,3,25,68.75
20,80,320,3,25,68.75
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,29,63.75
20,80,320,3,22,72.5
20,80,320,3,26,67.5
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,25,68.75
20,80,320,3,27,66.25
20,80,320,3,29,63.75
20,80,320,3,24,70.0
20,80,320,3,26,67.5
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,25,68.75
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,25,68.75
20,80,320,3,22,72.5
20,80,320,3,16,80.0
20,80,320,3,28,65.0
20,80,320,3,26,67.5
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,15,81.25
20,80,320,3,26,67.5
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,17,78.75
20,80,320,3,23,71.25
20,80,320,3,18,77.5
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,26,67.5
20,80,320,3,22,72.5
20,80,320,3,14,82.5
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,17,78.75
20,80,320,3,21,73.75
20,80,320,3,13,83.75
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,26,67.5
20,80,320,3,21,73.75
20,80,320,3,26,67.5
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,19,76.25
20,80,320,3,27,66.25
20,80,320,3,19,76.25
20,80,320,3,14,82.5
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,26,67.5
20,80,320,3,19,76.25
20,80,320,3,25,68.75
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,27,66.25
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,27,66.25
20,80,320,3,19,76.25
20,80,320,3,27,66.25
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,17,78.75
20,80,320,3,23,71.25
20,80,320,3,17,78.75
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,26,67.5
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,17,78.75
20,80,320,3,25,68.75
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,27,66.25
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,17,78.75
20,80,320,3,26,67.5
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,24,70.0
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,28,65.0
20,80,320,3,30,62.5
20,80,320,3,22,72.5
20,80,320,3,25,68.75
20,80,320,3,18,77.5
20,80,320,3,27,66.25
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,27,66.25
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,28,65.0
20,80,320,3,26,67.5
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,27,66.25
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,19,76.25
20,80,320,3,23,71.25
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,30,62.5
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,27,66.25
20,80,320,3,17,78.75
20,80,320,3,19,76.25
20,80,320,3,26,67.5
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,25,68.75
20,80,320,3,19,76.25
20,80,320,3,27,66.25
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,18,77.5
20,80,320,3,15,81.25
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,26,67.5
20,80,320,3,18,77.5
20,80,320,3,17,78.75
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,26,67.5
20,80,320,3,19,76.25
20,80,320,3,16,80.0
20,80,320,3,21,73.75
20,80,320,3,25,68.75
20,80,320,3,24,70.0
20,80,320,3,24,70.0
20,80,320,3,18,77.5
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,20,75.0
20,80,320,3,32,60.0
20,80,320,3,26,67.5
20,80,320,3,18,77.5
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,23,71.25
20,80,320,3,17,78.75
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,25,68.75
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,25,68.75
20,80,320,3,18,77.5
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,18,77.5
20,80,320,3,16,80.0
20,80,320,3,24,70.0
20,80,320,3,13,83.75
20,80,320,3,22,72.5
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,26,67.5
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,17,78.75
20,80,320,3,24,70.0
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,17,78.75
20,80,320,3,26,67.5
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,22,72.5
20,80,320,3,23,71.25
20,80,320,3,20,75.0
20,80,320,3,27,66.25
20,80,320,3,26,67.5
20,80,320,3,18,77.5
20,80,320,3,22,72.5
20,80,320,3,28,65.0
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,32,60.0
20,80,320,3,20,75.0
20,80,320,3,27,66.25
20,80,320,3,27,66.25
20,80,320,3,16,80.0
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,15,81.25
20,80,320,3,25,68.75
20,80,320,3,24,70.0
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,16,80.0
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,21,73.75
20,80,320,3,16,80.0
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,24,70.0
20,80,320,3,26,67.5
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,18,77.5
20,80,320,3,24,70.0
20,80,320,3,18,77.5
20,80,320,3,17,78.75
20,80,320,3,21,73.75
20,80,320,3,27,66.25
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,25,68.75
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,23,71.25
20,80,320,3,26,67.5
20,80,320,3,23,71.25
20,80,320,3,30,62.5
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,27,66.25
20,80,320,3,25,68.75
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,17,78.75
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,16,80.0
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,14,82.5
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,17,78.75
20,80,320,3,19,76.25
20,80,320,3,25,68.75
20,80,320,3,17,78.75
20,80,320,3,17,78.75
20,80,320,3,31,61.25
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,26,67.5
20,80,320,3,18,77.5
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,25,68.75
20,80,320,3,21,73.75
20,80,320,3,20,75.0
20,80,320,3,22,72.5
20,80,320,3,23,71.25
20,80,320,3,18,77.5
20,80,320,3,25,68.75
20,80,320,3,21,73.75
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,30,62.5
20,80,320,3,22,72.5
20,80,320,3,18,77.5
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,27,66.25
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,21,73.75
20,80,320,3,27,66.25
20,80,320,3,18,77.5
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,19,76.25
20,80,320,3,26,67.5
20,80,320,3,26,67.5
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,18,77.5
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,23,71.25
20,80,320,3,24,70.0
20,80,320,3,20,75.0
20,80,320,3,26,67.5
20,80,320,3,25,68.75
20,80,320,3,19,76.25
20,80,320,3,21,73.75
20,80,320,3,24,70.0
20,80,320,3,19,76.25
20,80,320,3,22,72.5
20,80,320,3,17,78.75
20,80,320,3,27,66.25
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,20,75.0
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,17,78.75
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,20,75.0
20,80,320,3,17,78.75
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,24,70.0
20,80,320,3,22,72.5
20,80,320,3,22,72.5
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,24,70.0
20,80,320,3,18,77.5
20,80,320,3,20,75.0
20,80,320,3,24,70.0
20,80,320,3,15,81.25
20,80,320,3,28,65.0
20,80,320,3,22,72.5
20,80,320,3,23,71.25
20,80,320,3,19,76.25
20,80,320,3,19,76.25
20,80,320,3,27,66.25
20,80,320,3,21,73.75
20,80,320,3,23,71.25
20,80,320,3,25,68.75
20,80,320,3,23,71.25
20,80,320,3,18,77.5
20,80,320,3,27,66.25
20,80,320,3,23,71.25
20,80,320,3,23,71.25
20,80,320,3,21,73.75
20,80,320,3,22,72.5
20,80,320,3,20,75.0
20,80,320,3,25,68.75
20,80,320,3,27,66.25
20,80,320,3,15,81.25
20,80,320,3,21,73.75
20,80,320,3,21,73.75
20,80,320,3,21,73.75
