Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,0,100.0
25,100,300,5,6,94.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,6,94.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,5,95.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,5,95.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,4,96.0
25,100,300,5,6,94.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,5,95.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,5,95.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,5,95.0
25,100,300,5,4,96.0
25,100,300,5,6,94.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,5,95.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,0,100.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,3,97.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,4,96.0
25,100,300,5,3,97.0
25,100,300,5,3,97.0
25,100,300,5,6,94.0
25,100,300,5,3,97.0
25,100,300,5,4,96.0
25,100,300,5,1,99.0
25,100,300,5,0,100.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,1,99.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
25,100,300,5,3,97.0
25,100,300,5,1,99.0
25,100,300,5,2,98.0
25,100,300,5,4,96.0
25,100,300,5,2,98.0
25,100,300,5,2,98.0
