Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,9,91.0
25,100,300,5,5,95.0
25,100,300,5,15,85.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,4,96.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,14,86.0
25,100,300,5,12,88.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,14,86.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,15,85.0
25,100,300,5,7,93.0
25,100,300,5,7,93.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,16,84.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,14,86.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,14,86.0
25,100,300,5,15,85.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,7,93.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,6,94.0
25,100,300,5,10,90.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,7,93.0
25,100,300,5,9,91.0
25,100,300,5,14,86.0
25,100,300,5,13,87.0
25,100,300,5,22,78.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,7,93.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,16,84.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,18,82.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,14,86.0
25,100,300,5,10,90.0
25,100,300,5,14,86.0
25,100,300,5,10,90.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,17,83.0
25,100,300,5,9,91.0
25,100,300,5,6,94.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,18,82.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,6,94.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,6,94.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,16,84.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,16,84.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,16,84.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,15,85.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,3,97.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,6,94.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,19,81.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,8,92.0
25,100,300,5,6,94.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,15,85.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,9,91.0
25,100,300,5,19,81.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,6,94.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,8,92.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,15,85.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,8,92.0
25,100,300,5,13,87.0
25,100,300,5,6,94.0
25,100,300,5,14,86.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,17,83.0
25,100,300,5,13,87.0
25,100,300,5,5,95.0
25,100,300,5,7,93.0
25,100,300,5,7,93.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,6,94.0
25,100,300,5,22,78.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,6,94.0
25,100,300,5,17,83.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,7,93.0
25,100,300,5,17,83.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,7,93.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,14,86.0
25,100,300,5,14,86.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,6,94.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,16,84.0
25,100,300,5,13,87.0
25,100,300,5,16,84.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,6,94.0
25,100,300,5,9,91.0
25,100,300,5,14,86.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,10,90.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,15,85.0
25,100,300,5,8,92.0
25,100,300,5,10,90.0
25,100,300,5,14,86.0
25,100,300,5,13,87.0
25,100,300,5,8,92.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,15,85.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,16,84.0
25,100,300,5,14,86.0
25,100,300,5,10,90.0
25,100,300,5,17,83.0
25,100,300,5,12,88.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,7,93.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,17,83.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,16,84.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,19,81.0
25,100,300,5,14,86.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,8,92.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,16,84.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,16,84.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,8,92.0
25,100,300,5,14,86.0
25,100,300,5,16,84.0
25,100,300,5,8,92.0
25,100,300,5,6,94.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,10,90.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,17,83.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,15,85.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,6,94.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,17,83.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,15,85.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,15,85.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,14,86.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,10,90.0
25,100,300,5,18,82.0
25,100,300,5,7,93.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,15,85.0
25,100,300,5,7,93.0
25,100,300,5,8,92.0
25,100,300,5,15,85.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,5,95.0
25,100,300,5,16,84.0
25,100,300,5,12,88.0
25,100,300,5,16,84.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,4,96.0
25,100,300,5,16,84.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,19,81.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,6,94.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,19,81.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,14,86.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,5,95.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,14,86.0
25,100,300,5,11,89.0
25,100,300,5,20,80.0
25,100,300,5,7,93.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,14,86.0
25,100,300,5,7,93.0
25,100,300,5,12,88.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,14,86.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,7,93.0
25,100,300,5,15,85.0
25,100,300,5,14,86.0
25,100,300,5,18,82.0
25,100,300,5,13,87.0
25,100,300,5,15,85.0
25,100,300,5,10,90.0
25,100,300,5,8,92.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,12,88.0
25,100,300,5,16,84.0
25,100,300,5,7,93.0
25,100,300,5,10,90.0
25,100,300,5,12,88.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,21,79.0
25,100,300,5,9,91.0
25,100,300,5,14,86.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,5,95.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,7,93.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,14,86.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,14,86.0
25,100,300,5,6,94.0
25,100,300,5,18,82.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,16,84.0
25,100,300,5,10,90.0
25,100,300,5,8,92.0
25,100,300,5,17,83.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,12,88.0
25,100,300,5,14,86.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,13,87.0
25,100,300,5,8,92.0
25,100,300,5,16,84.0
25,100,300,5,14,86.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,14,86.0
25,100,300,5,14,86.0
25,100,300,5,8,92.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,9,91.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,15,85.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,9,91.0
25,100,300,5,8,92.0
25,100,300,5,7,93.0
25,100,300,5,18,82.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,4,96.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,13,87.0
25,100,300,5,10,90.0
25,100,300,5,14,86.0
25,100,300,5,14,86.0
25,100,300,5,12,88.0
25,100,300,5,12,88.0
25,100,300,5,9,91.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,7,93.0
25,100,300,5,9,91.0
25,100,300,5,11,89.0
25,100,300,5,7,93.0
25,100,300,5,16,84.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,9,91.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,8,92.0
25,100,300,5,10,90.0
25,100,300,5,9,91.0
25,100,300,5,15,85.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,15,85.0
25,100,300,5,13,87.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,11,89.0
25,100,300,5,10,90.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,12,88.0
25,100,300,5,11,89.0
25,100,300,5,8,92.0
25,100,300,5,13,87.0
25,100,300,5,12,88.0
25,100,300,5,15,85.0
