Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
50,200,200,5,23,88.5
50,200,200,5,27,86.5
50,200,200,5,30,85.0
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,20,90.0
50,200,200,5,19,90.5
50,200,200,5,19,90.5
50,200,200,5,26,87.0
50,200,200,5,20,90.0
50,200,200,5,26,87.0
50,200,200,5,26,87.0
50,200,200,5,26,87.0
50,200,200,5,25,87.5
50,200,200,5,30,85.0
50,200,200,5,28,86.0
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,32,84.0
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,22,89.0
50,200,200,5,28,86.0
50,200,200,5,27,86.5
50,200,200,5,26,87.0
50,200,200,5,26,87.0
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,34,83.0
50,200,200,5,22,89.0
50,200,200,5,28,86.0
50,200,200,5,32,84.0
50,200,200,5,26,87.0
50,200,200,5,32,84.0
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,32,84.0
50,200,200,5,31,84.5
50,200,200,5,27,86.5
50,200,200,5,33,83.5
50,200,200,5,20,90.0
50,200,200,5,22,89.0
50,200,200,5,30,85.0
50,200,200,5,27,86.5
50,200,200,5,27,86.5
50,200,200,5,21,89.5
50,200,200,5,17,91.5
50,200,200,5,24,88.0
50,200,200,5,21,89.5
50,200,200,5,27,86.5
50,200,200,5,29,85.5
50,200,200,5,32,84.0
50,200,200,5,19,90.5
50,200,200,5,34,83.0
50,200,200,5,39,80.5
50,200,200,5,25,87.5
50,200,200,5,29,85.5
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,15,92.5
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,32,84.0
50,200,200,5,25,87.5
50,200,200,5,34,83.0
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,30,85.0
50,200,200,5,26,87.0
50,200,200,5,17,91.5
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,21,89.5
50,200,200,5,27,86.5
50,200,200,5,29,85.5
50,200,200,5,30,85.0
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,24,88.0
50,200,200,5,17,91.5
50,200,200,5,18,91.0
50,200,200,5,20,90.0
50,200,200,5,20,90.0
50,200,200,5,33,83.5
50,200,200,5,20,90.0
50,200,200,5,20,90.0
50,200,200,5,17,91.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,30,85.0
50,200,200,5,16,92.0
50,200,200,5,29,85.5
50,200,200,5,22,89.0
50,200,200,5,19,90.5
50,200,200,5,23,88.5
50,200,200,5,17,91.5
50,200,200,5,26,87.0
50,200,200,5,18,91.0
50,200,200,5,24,88.0
50,200,200,5,26,87.0
50,200,200,5,25,87.5
50,200,200,5,25,87.5
50,200,200,5,26,87.0
50,200,200,5,20,90.0
50,200,200,5,36,82.0
50,200,200,5,25,87.5
50,200,200,5,27,86.5
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,22,89.0
50,200,200,5,31,84.5
50,200,200,5,28,86.0
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,22,89.0
50,200,200,5,28,86.0
50,200,200,5,24,88.0
50,200,200,5,19,90.5
50,200,200,5,22,89.0
50,200,200,5,19,90.5
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,19,90.5
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,20,90.0
50,200,200,5,14,93.0
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,21,89.5
50,200,200,5,21,89.5
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,23,88.5
50,200,200,5,27,86.5
50,200,200,5,20,90.0
50,200,200,5,17,91.5
50,200,200,5,31,84.5
50,200,200,5,31,84.5
50,200,200,5,28,86.0
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,18,91.0
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,24,88.0
50,200,200,5,17,91.5
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,18,91.0
50,200,200,5,25,87.5
50,200,200,5,16,92.0
50,200,200,5,32,84.0
50,200,200,5,24,88.0
50,200,200,5,26,87.0
50,200,200,5,29,85.5
50,200,200,5,20,90.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,27,86.5
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,30,85.0
50,200,200,5,23,88.5
50,200,200,5,22,89.0
50,200,200,5,19,90.5
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,27,86.5
50,200,200,5,27,86.5
50,200,200,5,22,89.0
50,200,200,5,21,89.5
50,200,200,5,30,85.0
50,200,200,5,15,92.5
50,200,200,5,28,86.0
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,19,90.5
50,200,200,5,25,87.5
50,200,200,5,26,87.0
50,200,200,5,23,88.5
50,200,200,5,19,90.5
50,200,200,5,16,92.0
50,200,200,5,17,91.5
50,200,200,5,27,86.5
50,200,200,5,29,85.5
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,29,85.5
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,29,85.5
50,200,200,5,14,93.0
50,200,200,5,19,90.5
50,200,200,5,28,86.0
50,200,200,5,21,89.5
50,200,200,5,18,91.0
50,200,200,5,28,86.0
50,200,200,5,16,92.0
50,200,200,5,16,92.0
50,200,200,5,27,86.5
50,200,200,5,18,91.0
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,18,91.0
50,200,200,5,24,88.0
50,200,200,5,22,89.0
50,200,200,5,22,89.0
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,19,90.5
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,19,90.5
50,200,200,5,21,89.5
50,200,200,5,27,86.5
50,200,200,5,21,89.5
50,200,200,5,28,86.0
50,200,200,5,27,86.5
50,200,200,5,22,89.0
50,200,200,5,32,84.0
50,200,200,5,33,83.5
50,200,200,5,28,86.0
50,200,200,5,20,90.0
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,18,91.0
50,200,200,5,28,86.0
50,200,200,5,27,86.5
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,19,90.5
50,200,200,5,19,90.5
50,200,200,5,23,88.5
50,200,200,5,13,93.5
50,200,200,5,17,91.5
50,200,200,5,20,90.0
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,24,88.0
50,200,200,5,26,87.0
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,24,88.0
50,200,200,5,19,90.5
50,200,200,5,18,91.0
50,200,200,5,19,90.5
50,200,200,5,21,89.5
50,200,200,5,17,91.5
50,200,200,5,19,90.5
50,200,200,5,18,91.0
50,200,200,5,26,87.0
50,200,200,5,23,88.5
50,200,200,5,20,90.0
50,200,200,5,30,85.0
50,200,200,5,23,88.5
50,200,200,5,15,92.5
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,23,88.5
50,200,200,5,16,92.0
50,200,200,5,28,86.0
50,200,200,5,16,92.0
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,27,86.5
50,200,200,5,27,86.5
50,200,200,5,21,89.5
50,200,200,5,26,87.0
50,200,200,5,29,85.5
50,200,200,5,21,89.5
50,200,200,5,26,87.0
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,30,85.0
50,200,200,5,21,89.5
50,200,200,5,28,86.0
50,200,200,5,20,90.0
50,200,200,5,23,88.5
50,200,200,5,34,83.0
50,200,200,5,16,92.0
50,200,200,5,24,88.0
50,200,200,5,20,90.0
50,200,200,5,22,89.0
50,200,200,5,27,86.5
50,200,200,5,29,85.5
50,200,200,5,30,85.0
50,200,200,5,23,88.5
50,200,200,5,19,90.5
50,200,200,5,28,86.0
50,200,200,5,32,84.0
50,200,200,5,22,89.0
50,200,200,5,28,86.0
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,26,87.0
50,200,200,5,26,87.0
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,26,87.0
50,200,200,5,26,87.0
50,200,200,5,23,88.5
50,200,200,5,30,85.0
50,200,200,5,31,84.5
50,200,200,5,19,90.5
50,200,200,5,26,87.0
50,200,200,5,16,92.0
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,26,87.0
50,200,200,5,31,84.5
50,200,200,5,22,89.0
50,200,200,5,17,91.5
50,200,200,5,24,88.0
50,200,200,5,18,91.0
50,200,200,5,19,90.5
50,200,200,5,22,89.0
50,200,200,5,25,87.5
50,200,200,5,25,87.5
50,200,200,5,24,88.0
50,200,200,5,26,87.0
50,200,200,5,24,88.0
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,20,90.0
50,200,200,5,16,92.0
50,200,200,5,18,91.0
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,18,91.0
50,200,200,5,19,90.5
50,200,200,5,28,86.0
50,200,200,5,17,91.5
50,200,200,5,25,87.5
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,19,90.5
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,30,85.0
50,200,200,5,18,91.0
50,200,200,5,24,88.0
50,200,200,5,20,90.0
50,200,200,5,23,88.5
50,200,200,5,29,85.5
50,200,200,5,19,90.5
50,200,200,5,27,86.5
50,200,200,5,21,89.5
50,200,200,5,19,90.5
50,200,200,5,24,88.0
50,200,200,5,27,86.5
50,200,200,5,21,89.5
50,200,200,5,28,86.0
50,200,200,5,27,86.5
50,200,200,5,27,86.5
50,200,200,5,26,87.0
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,27,86.5
50,200,200,5,30,85.0
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,19,90.5
50,200,200,5,28,86.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,26,87.0
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,30,85.0
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,19,90.5
50,200,200,5,17,91.5
50,200,200,5,26,87.0
50,200,200,5,14,93.0
50,200,200,5,31,84.5
50,200,200,5,19,90.5
50,200,200,5,31,84.5
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,20,90.0
50,200,200,5,28,86.0
50,200,200,5,26,87.0
50,200,200,5,17,91.5
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,22,89.0
50,200,200,5,15,92.5
50,200,200,5,25,87.5
50,200,200,5,27,86.5
50,200,200,5,24,88.0
50,200,200,5,28,86.0
50,200,200,5,24,88.0
50,200,200,5,18,91.0
50,200,200,5,23,88.5
50,200,200,5,15,92.5
50,200,200,5,18,91.0
50,200,200,5,18,91.0
50,200,200,5,28,86.0
50,200,200,5,30,85.0
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,23,88.5
50,200,200,5,18,91.0
50,200,200,5,24,88.0
50,200,200,5,30,85.0
50,200,200,5,19,90.5
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,18,91.0
50,200,200,5,26,87.0
50,200,200,5,22,89.0
50,200,200,5,19,90.5
50,200,200,5,23,88.5
50,200,200,5,22,89.0
50,200,200,5,16,92.0
50,200,200,5,28,86.0
50,200,200,5,27,86.5
50,200,200,5,28,86.0
50,200,200,5,29,85.5
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,21,89.5
50,200,200,5,36,82.0
50,200,200,5,19,90.5
50,200,200,5,24,88.0
50,200,200,5,23,88.5
50,200,200,5,34,83.0
50,200,200,5,30,85.0
50,200,200,5,24,88.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,27,86.5
50,200,200,5,23,88.5
50,200,200,5,22,89.0
50,200,200,5,30,85.0
50,200,200,5,19,90.5
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,25,87.5
50,200,200,5,29,85.5
50,200,200,5,32,84.0
50,200,200,5,30,85.0
50,200,200,5,22,89.0
50,200,200,5,21,89.5
50,200,200,5,30,85.0
50,200,200,5,22,89.0
50,200,200,5,31,84.5
50,200,200,5,21,89.5
50,200,200,5,26,87.0
50,200,200,5,27,86.5
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,32,84.0
50,200,200,5,15,92.5
50,200,200,5,25,87.5
50,200,200,5,36,82.0
50,200,200,5,27,86.5
50,200,200,5,20,90.0
50,200,200,5,40,80.0
50,200,200,5,23,88.5
50,200,200,5,18,91.0
50,200,200,5,18,91.0
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,31,84.5
50,200,200,5,25,87.5
50,200,200,5,27,86.5
50,200,200,5,31,84.5
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,22,89.0
50,200,200,5,29,85.5
50,200,200,5,28,86.0
50,200,200,5,19,90.5
50,200,200,5,26,87.0
50,200,200,5,18,91.0
50,200,200,5,33,83.5
50,200,200,5,18,91.0
50,200,200,5,24,88.0
50,200,200,5,27,86.5
50,200,200,5,20,90.0
50,200,200,5,36,82.0
50,200,200,5,29,85.5
50,200,200,5,17,91.5
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,26,87.0
50,200,200,5,31,84.5
50,200,200,5,30,85.0
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,19,90.5
50,200,200,5,27,86.5
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,28,86.0
50,200,200,5,23,88.5
50,200,200,5,26,87.0
50,200,200,5,20,90.0
50,200,200,5,30,85.0
50,200,200,5,26,87.0
50,200,200,5,17,91.5
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,27,86.5
50,200,200,5,28,86.0
50,200,200,5,25,87.5
50,200,200,5,26,87.0
50,200,200,5,15,92.5
50,200,200,5,21,89.5
50,200,200,5,17,91.5
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,23,88.5
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,27,86.5
50,200,200,5,29,85.5
50,200,200,5,22,89.0
50,200,200,5,22,89.0
50,200,200,5,31,84.5
50,200,200,5,25,87.5
50,200,200,5,25,87.5
50,200,200,5,25,87.5
50,200,200,5,26,87.0
50,200,200,5,20,90.0
50,200,200,5,28,86.0
50,200,200,5,18,91.0
50,200,200,5,24,88.0
50,200,200,5,28,86.0
50,200,200,5,30,85.0
50,200,200,5,30,85.0
50,200,200,5,18,91.0
50,200,200,5,23,88.5
50,200,200,5,22,89.0
50,200,200,5,22,89.0
50,200,200,5,27,86.5
50,200,200,5,25,87.5
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,19,90.5
50,200,200,5,21,89.5
50,200,200,5,29,85.5
50,200,200,5,18,91.0
50,200,200,5,22,89.0
50,200,200,5,16,92.0
50,200,200,5,28,86.0
50,200,200,5,25,87.5
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,21,89.5
50,200,200,5,26,87.0
50,200,200,5,18,91.0
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,27,86.5
50,200,200,5,19,90.5
50,200,200,5,16,92.0
50,200,200,5,27,86.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,14,93.0
50,200,200,5,28,86.0
50,200,200,5,27,86.5
50,200,200,5,20,90.0
50,200,200,5,17,91.5
50,200,200,5,24,88.0
50,200,200,5,28,86.0
50,200,200,5,28,86.0
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,27,86.5
50,200,200,5,20,90.0
50,200,200,5,20,90.0
50,200,200,5,16,92.0
50,200,200,5,17,91.5
50,200,200,5,18,91.0
50,200,200,5,15,92.5
50,200,200,5,26,87.0
50,200,200,5,34,83.0
50,200,200,5,19,90.5
50,200,200,5,24,88.0
50,200,200,5,17,91.5
50,200,200,5,18,91.0
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,22,89.0
50,200,200,5,29,85.5
50,200,200,5,19,90.5
50,200,200,5,30,85.0
50,200,200,5,21,89.5
50,200,200,5,21,89.5
50,200,200,5,22,89.0
50,200,200,5,25,87.5
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,33,83.5
50,200,200,5,23,88.5
50,200,200,5,26,87.0
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,31,84.5
50,200,200,5,28,86.0
50,200,200,5,19,90.5
50,200,200,5,25,87.5
50,200,200,5,29,85.5
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,20,90.0
50,200,200,5,27,86.5
50,200,200,5,27,86.5
50,200,200,5,20,90.0
50,200,200,5,20,90.0
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,27,86.5
50,200,200,5,16,92.0
50,200,200,5,22,89.0
50,200,200,5,27,86.5
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,27,86.5
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,18,91.0
50,200,200,5,20,90.0
50,200,200,5,21,89.5
50,200,200,5,20,90.0
50,200,200,5,20,90.0
50,200,200,5,22,89.0
50,200,200,5,19,90.5
50,200,200,5,28,86.0
50,200,200,5,22,89.0
50,200,200,5,31,84.5
50,200,200,5,22,89.0
50,200,200,5,19,90.5
50,200,200,5,16,92.0
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,28,86.0
50,200,200,5,22,89.0
50,200,200,5,29,85.5
50,200,200,5,26,87.0
50,200,200,5,18,91.0
50,200,200,5,29,85.5
50,200,200,5,24,88.0
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,30,85.0
50,200,200,5,25,87.5
50,200,200,5,30,85.0
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,20,90.0
50,200,200,5,27,86.5
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,18,91.0
50,200,200,5,27,86.5
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,23,88.5
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,17,91.5
50,200,200,5,24,88.0
50,200,200,5,18,91.0
50,200,200,5,21,89.5
50,200,200,5,21,89.5
50,200,200,5,20,90.0
50,200,200,5,35,82.5
50,200,200,5,24,88.0
50,200,200,5,24,88.0
50,200,200,5,26,87.0
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,13,93.5
50,200,200,5,24,88.0
50,200,200,5,26,87.0
50,200,200,5,28,86.0
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,18,91.0
50,200,200,5,26,87.0
50,200,200,5,22,89.0
50,200,200,5,28,86.0
50,200,200,5,24,88.0
50,200,200,5,25,87.5
50,200,200,5,17,91.5
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,19,90.5
50,200,200,5,18,91.0
50,200,200,5,22,89.0
50,200,200,5,27,86.5
50,200,200,5,24,88.0
50,200,200,5,29,85.5
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,27,86.5
50,200,200,5,22,89.0
50,200,200,5,24,88.0
50,200,200,5,23,88.5
50,200,200,5,33,83.5
50,200,200,5,29,85.5
50,200,200,5,20,90.0
50,200,200,5,15,92.5
50,200,200,5,20,90.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,17,91.5
50,200,200,5,18,91.0
50,200,200,5,32,84.0
50,200,200,5,35,82.5
50,200,200,5,19,90.5
50,200,200,5,26,87.0
50,200,200,5,26,87.0
50,200,200,5,20,90.0
50,200,200,5,27,86.5
50,200,200,5,27,86.5
50,200,200,5,24,88.0
50,200,200,5,15,92.5
50,200,200,5,16,92.0
50,200,200,5,23,88.5
50,200,200,5,24,88.0
50,200,200,5,20,90.0
50,200,200,5,24,88.0
50,200,200,5,21,89.5
50,200,200,5,18,91.0
50,200,200,5,19,90.5
50,200,200,5,26,87.0
50,200,200,5,21,89.5
50,200,200,5,19,90.5
50,200,200,5,25,87.5
50,200,200,5,22,89.0
50,200,200,5,20,90.0
50,200,200,5,22,89.0
50,200,200,5,22,89.0
50,200,200,5,21,89.5
50,200,200,5,17,91.5
50,200,200,5,24,88.0
50,200,200,5,22,89.0
50,200,200,5,18,91.0
50,200,200,5,21,89.5
50,200,200,5,20,90.0
50,200,200,5,22,89.0
50,200,200,5,23,88.5
50,200,200,5,31,84.5
50,200,200,5,21,89.5
50,200,200,5,28,86.0
50,200,200,5,35,82.5
50,200,200,5,26,87.0
50,200,200,5,27,86.5
50,200,200,5,21,89.5
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,23,88.5
50,200,200,5,21,89.5
50,200,200,5,29,85.5
50,200,200,5,23,88.5
50,200,200,5,23,88.5
50,200,200,5,20,90.0
50,200,200,5,31,84.5
50,200,200,5,18,91.0
50,200,200,5,25,87.5
50,200,200,5,25,87.5
50,200,200,5,20,90.0
50,200,200,5,21,89.5
50,200,200,5,24,88.0
50,200,200,5,19,90.5
50,200,200,5,18,91.0
50,200,200,5,26,87.0
50,200,200,5,19,90.5
50,200,200,5,19,90.5
50,200,200,5,18,91.0
50,200,200,5,27,86.5
50,200,200,5,25,87.5
50,200,200,5,26,87.0
50,200,200,5,27,86.5
50,200,200,5,20,90.0
50,200,200,5,19,90.5
50,200,200,5,25,87.5
50,200,200,5,27,86.5
50,200,200,5,16,92.0
50,200,200,5,21,89.5
50,200,200,5,22,89.0
50,200,200,5,15,92.5
50,200,200,5,21,89.5
50,200,200,5,21,89.5
50,200,200,5,25,87.5
50,200,200,5,21,89.5
50,200,200,5,20,90.0
