Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
60,240,160,3,63,73.75
60,240,160,3,69,71.25
60,240,160,3,58,75.83333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,72,70.0
60,240,160,3,68,71.66666666666667
60,240,160,3,57,76.25
60,240,160,3,53,77.91666666666667
60,240,160,3,48,80.0
60,240,160,3,74,69.16666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,63,73.75
60,240,160,3,73,69.58333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,66,72.5
60,240,160,3,75,68.75
60,240,160,3,65,72.91666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,58,75.83333333333334
60,240,160,3,78,67.5
60,240,160,3,54,77.5
60,240,160,3,64,73.33333333333334
60,240,160,3,60,75.0
60,240,160,3,75,68.75
60,240,160,3,68,71.66666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,63,73.75
60,240,160,3,65,72.91666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,66,72.5
60,240,160,3,69,71.25
60,240,160,3,55,77.08333333333334
60,240,160,3,73,69.58333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,75,68.75
60,240,160,3,70,70.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,48,80.0
60,240,160,3,65,72.91666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,66,72.5
60,240,160,3,73,69.58333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,63,73.75
60,240,160,3,59,75.41666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,66,72.5
60,240,160,3,68,71.66666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,76,68.33333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,69,71.25
60,240,160,3,80,66.66666666666667
60,240,160,3,56,76.66666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,57,76.25
60,240,160,3,65,72.91666666666667
60,240,160,3,69,71.25
60,240,160,3,66,72.5
60,240,160,3,65,72.91666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,73,69.58333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,69,71.25
60,240,160,3,64,73.33333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,60,75.0
60,240,160,3,62,74.16666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,69,71.25
60,240,160,3,65,72.91666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,56,76.66666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,55,77.08333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,75,68.75
60,240,160,3,64,73.33333333333334
60,240,160,3,55,77.08333333333334
60,240,160,3,75,68.75
60,240,160,3,75,68.75
60,240,160,3,64,73.33333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,55,77.08333333333334
60,240,160,3,69,71.25
60,240,160,3,59,75.41666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,66,72.5
60,240,160,3,61,74.58333333333334
60,240,160,3,57,76.25
60,240,160,3,57,76.25
60,240,160,3,69,71.25
60,240,160,3,67,72.08333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,57,76.25
60,240,160,3,67,72.08333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,80,66.66666666666667
60,240,160,3,54,77.5
60,240,160,3,61,74.58333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,87,63.75
60,240,160,3,68,71.66666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,60,75.0
60,240,160,3,67,72.08333333333334
60,240,160,3,54,77.5
60,240,160,3,67,72.08333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,63,73.75
60,240,160,3,63,73.75
60,240,160,3,70,70.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,75,68.75
60,240,160,3,63,73.75
60,240,160,3,70,70.83333333333334
60,240,160,3,63,73.75
60,240,160,3,59,75.41666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,66,72.5
60,240,160,3,64,73.33333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,56,76.66666666666667
60,240,160,3,66,72.5
60,240,160,3,65,72.91666666666667
60,240,160,3,75,68.75
60,240,160,3,64,73.33333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,57,76.25
60,240,160,3,60,75.0
60,240,160,3,63,73.75
60,240,160,3,64,73.33333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,52,78.33333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,72,70.0
60,240,160,3,65,72.91666666666667
60,240,160,3,66,72.5
60,240,160,3,64,73.33333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,79,67.08333333333334
60,240,160,3,55,77.08333333333334
60,240,160,3,57,76.25
60,240,160,3,68,71.66666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,55,77.08333333333334
60,240,160,3,60,75.0
60,240,160,3,55,77.08333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,56,76.66666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,72,70.0
60,240,160,3,71,70.41666666666667
60,240,160,3,49,79.58333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,51,78.75
60,240,160,3,72,70.0
60,240,160,3,56,76.66666666666667
60,240,160,3,58,75.83333333333334
60,240,160,3,63,73.75
60,240,160,3,67,72.08333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,60,75.0
60,240,160,3,67,72.08333333333334
60,240,160,3,66,72.5
60,240,160,3,58,75.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,66,72.5
60,240,160,3,55,77.08333333333334
60,240,160,3,55,77.08333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,66,72.5
60,240,160,3,61,74.58333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,66,72.5
60,240,160,3,72,70.0
60,240,160,3,58,75.83333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,60,75.0
60,240,160,3,57,76.25
60,240,160,3,72,70.0
60,240,160,3,68,71.66666666666667
60,240,160,3,75,68.75
60,240,160,3,66,72.5
60,240,160,3,66,72.5
60,240,160,3,64,73.33333333333334
60,240,160,3,63,73.75
60,240,160,3,62,74.16666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,60,75.0
60,240,160,3,66,72.5
60,240,160,3,53,77.91666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,58,75.83333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,69,71.25
60,240,160,3,66,72.5
60,240,160,3,60,75.0
60,240,160,3,66,72.5
60,240,160,3,72,70.0
60,240,160,3,57,76.25
60,240,160,3,59,75.41666666666667
60,240,160,3,58,75.83333333333334
60,240,160,3,72,70.0
60,240,160,3,68,71.66666666666667
60,240,160,3,76,68.33333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,79,67.08333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,66,72.5
60,240,160,3,57,76.25
60,240,160,3,61,74.58333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,63,73.75
60,240,160,3,53,77.91666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,60,75.0
60,240,160,3,70,70.83333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,74,69.16666666666667
60,240,160,3,66,72.5
60,240,160,3,61,74.58333333333334
60,240,160,3,60,75.0
60,240,160,3,72,70.0
60,240,160,3,70,70.83333333333334
60,240,160,3,56,76.66666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,60,75.0
60,240,160,3,61,74.58333333333334
60,240,160,3,66,72.5
60,240,160,3,62,74.16666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,74,69.16666666666667
60,240,160,3,63,73.75
60,240,160,3,65,72.91666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,69,71.25
60,240,160,3,63,73.75
60,240,160,3,66,72.5
60,240,160,3,66,72.5
60,240,160,3,68,71.66666666666667
60,240,160,3,66,72.5
60,240,160,3,62,74.16666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,60,75.0
60,240,160,3,54,77.5
60,240,160,3,65,72.91666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,56,76.66666666666667
60,240,160,3,74,69.16666666666667
60,240,160,3,66,72.5
60,240,160,3,59,75.41666666666667
60,240,160,3,58,75.83333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,63,73.75
60,240,160,3,70,70.83333333333334
60,240,160,3,55,77.08333333333334
60,240,160,3,63,73.75
60,240,160,3,73,69.58333333333334
60,240,160,3,63,73.75
60,240,160,3,57,76.25
60,240,160,3,67,72.08333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,72,70.0
60,240,160,3,57,76.25
60,240,160,3,61,74.58333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,73,69.58333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,75,68.75
60,240,160,3,64,73.33333333333334
60,240,160,3,60,75.0
60,240,160,3,71,70.41666666666667
60,240,160,3,69,71.25
60,240,160,3,67,72.08333333333334
60,240,160,3,69,71.25
60,240,160,3,70,70.83333333333334
60,240,160,3,76,68.33333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,60,75.0
60,240,160,3,61,74.58333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,66,72.5
60,240,160,3,61,74.58333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,66,72.5
60,240,160,3,65,72.91666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,72,70.0
60,240,160,3,66,72.5
60,240,160,3,58,75.83333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,72,70.0
60,240,160,3,83,65.41666666666667
60,240,160,3,58,75.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,60,75.0
60,240,160,3,69,71.25
60,240,160,3,60,75.0
60,240,160,3,69,71.25
60,240,160,3,76,68.33333333333334
60,240,160,3,57,76.25
60,240,160,3,68,71.66666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,72,70.0
60,240,160,3,57,76.25
60,240,160,3,67,72.08333333333334
60,240,160,3,63,73.75
60,240,160,3,66,72.5
60,240,160,3,63,73.75
60,240,160,3,64,73.33333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,58,75.83333333333334
60,240,160,3,59,75.41666666666667
60,240,160,3,63,73.75
60,240,160,3,61,74.58333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,86,64.16666666666667
60,240,160,3,57,76.25
60,240,160,3,70,70.83333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,56,76.66666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,77,67.91666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,56,76.66666666666667
60,240,160,3,75,68.75
60,240,160,3,65,72.91666666666667
60,240,160,3,75,68.75
60,240,160,3,64,73.33333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,70,70.83333333333334
60,240,160,3,79,67.08333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,55,77.08333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,60,75.0
60,240,160,3,69,71.25
60,240,160,3,75,68.75
60,240,160,3,61,74.58333333333334
60,240,160,3,77,67.91666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,72,70.0
60,240,160,3,65,72.91666666666667
60,240,160,3,52,78.33333333333334
60,240,160,3,60,75.0
60,240,160,3,70,70.83333333333334
60,240,160,3,74,69.16666666666667
60,240,160,3,77,67.91666666666667
60,240,160,3,57,76.25
60,240,160,3,68,71.66666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,57,76.25
60,240,160,3,59,75.41666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,69,71.25
60,240,160,3,68,71.66666666666667
60,240,160,3,76,68.33333333333334
60,240,160,3,55,77.08333333333334
60,240,160,3,63,73.75
60,240,160,3,70,70.83333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,73,69.58333333333334
60,240,160,3,60,75.0
60,240,160,3,61,74.58333333333334
60,240,160,3,57,76.25
60,240,160,3,75,68.75
60,240,160,3,73,69.58333333333334
60,240,160,3,80,66.66666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,63,73.75
60,240,160,3,56,76.66666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,69,71.25
60,240,160,3,59,75.41666666666667
60,240,160,3,72,70.0
60,240,160,3,58,75.83333333333334
60,240,160,3,63,73.75
60,240,160,3,58,75.83333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,75,68.75
60,240,160,3,56,76.66666666666667
60,240,160,3,69,71.25
60,240,160,3,78,67.5
60,240,160,3,57,76.25
60,240,160,3,69,71.25
60,240,160,3,65,72.91666666666667
60,240,160,3,56,76.66666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,55,77.08333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,74,69.16666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,71,70.41666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,63,73.75
60,240,160,3,62,74.16666666666667
60,240,160,3,66,72.5
60,240,160,3,66,72.5
60,240,160,3,64,73.33333333333334
60,240,160,3,57,76.25
60,240,160,3,67,72.08333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,66,72.5
60,240,160,3,78,67.5
60,240,160,3,60,75.0
60,240,160,3,66,72.5
60,240,160,3,68,71.66666666666667
60,240,160,3,66,72.5
60,240,160,3,68,71.66666666666667
60,240,160,3,66,72.5
60,240,160,3,64,73.33333333333334
60,240,160,3,76,68.33333333333334
60,240,160,3,63,73.75
60,240,160,3,75,68.75
60,240,160,3,77,67.91666666666667
60,240,160,3,72,70.0
60,240,160,3,74,69.16666666666667
60,240,160,3,63,73.75
60,240,160,3,64,73.33333333333334
60,240,160,3,63,73.75
60,240,160,3,73,69.58333333333334
60,240,160,3,54,77.5
60,240,160,3,60,75.0
60,240,160,3,64,73.33333333333334
60,240,160,3,66,72.5
60,240,160,3,61,74.58333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,66,72.5
60,240,160,3,71,70.41666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,67,72.08333333333334
60,240,160,3,64,73.33333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,63,73.75
60,240,160,3,59,75.41666666666667
60,240,160,3,63,73.75
60,240,160,3,65,72.91666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,69,71.25
60,240,160,3,66,72.5
60,240,160,3,62,74.16666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,51,78.75
60,240,160,3,81,66.25
60,240,160,3,64,73.33333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,74,69.16666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,52,78.33333333333334
60,240,160,3,62,74.16666666666667
60,240,160,3,57,76.25
60,240,160,3,62,74.16666666666667
60,240,160,3,66,72.5
60,240,160,3,62,74.16666666666667
60,240,160,3,60,75.0
60,240,160,3,63,73.75
60,240,160,3,55,77.08333333333334
60,240,160,3,56,76.66666666666667
60,240,160,3,69,71.25
60,240,160,3,69,71.25
60,240,160,3,57,76.25
60,240,160,3,66,72.5
60,240,160,3,63,73.75
60,240,160,3,65,72.91666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,70,70.83333333333334
60,240,160,3,66,72.5
60,240,160,3,68,71.66666666666667
60,240,160,3,71,70.41666666666667
60,240,160,3,65,72.91666666666667
60,240,160,3,53,77.91666666666667
60,240,160,3,63,73.75
60,240,160,3,66,72.5
60,240,160,3,59,75.41666666666667
60,240,160,3,61,74.58333333333334
60,240,160,3,58,75.83333333333334
60,240,160,3,61,74.58333333333334
60,240,160,3,65,72.91666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,53,77.91666666666667
60,240,160,3,74,69.16666666666667
60,240,160,3,67,72.08333333333334
60,240,160,3,60,75.0
60,240,160,3,68,71.66666666666667
60,240,160,3,62,74.16666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,64,73.33333333333334
60,240,160,3,60,75.0
60,240,160,3,72,70.0
60,240,160,3,63,73.75
60,240,160,3,59,75.41666666666667
60,240,160,3,68,71.66666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,72,70.0
60,240,160,3,64,73.33333333333334
60,240,160,3,72,70.0
60,240,160,3,55,77.08333333333334
60,240,160,3,63,73.75
60,240,160,3,76,68.33333333333334
60,240,160,3,56,76.66666666666667
60,240,160,3,59,75.41666666666667
60,240,160,3,55,77.08333333333334
60,240,160,3,68,71.66666666666667
60,240,160,3,66,72.5
60,240,160,3,61,74.58333333333334
60,240,160,3,74,69.16666666666667
60,240,160,3,76,68.33333333333334
