Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,4,96.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,4,96.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,5,95.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,5,95.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,5,95.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,4,96.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,5,95.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,5,95.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,4,96.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,4,96.0
25,100,300,3,0,100.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,3,97.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,3,97.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,3,97.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,0,100.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,0,100.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
25,100,300,3,2,98.0
25,100,300,3,2,98.0
25,100,300,3,1,99.0
25,100,300,3,1,99.0
