Porcentaje Query,Total Query,Total Training,k,Error,Porcentaje
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,6,97.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,7,96.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,9,95.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,5,97.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,5,97.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,5,97.5
50,200,200,3,0,100.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,7,96.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,6,97.0
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,7,96.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,7,96.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,5,97.5
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,8,96.0
50,200,200,3,3,98.5
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,7,96.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,6,97.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,6,97.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,6,97.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,6,97.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,8,96.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,6,97.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,6,97.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,0,100.0
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,5,97.5
50,200,200,3,10,95.0
50,200,200,3,3,98.5
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,7,96.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,7,96.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,4,98.0
50,200,200,3,6,97.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,6,97.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,0,100.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,0,100.0
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,5,97.5
50,200,200,3,0,100.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,0,100.0
50,200,200,3,3,98.5
50,200,200,3,3,98.5
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,7,96.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,7,96.5
50,200,200,3,10,95.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,5,97.5
50,200,200,3,5,97.5
50,200,200,3,5,97.5
50,200,200,3,6,97.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,5,97.5
50,200,200,3,4,98.0
50,200,200,3,0,100.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,2,99.0
50,200,200,3,4,98.0
50,200,200,3,5,97.5
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,4,98.0
50,200,200,3,4,98.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,9,95.5
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,5,97.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,12,94.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,0,100.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,1,99.5
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,2,99.0
50,200,200,3,3,98.5
50,200,200,3,1,99.5
50,200,200,3,8,96.0
50,200,200,3,1,99.5
50,200,200,3,1,99.5
50,200,200,3,2,99.0
